Internship_ID,Domain,Student_ID,University,Year_of_Study,Program,Application_Date,Status,Participation,Clicks_on_Internship
754,Blockchain,S0000,Oxford,3rd Year,MBA,2025-01-01,Rejected,No,29
214,Data Science,S0001,Cambridge,4th Year,MBA,2025-01-02,Pending,Yes,11
125,Web Development,S0002,Stanford,3rd Year,M.Tech,2025-01-03,Accepted,Yes,12
859,AI/ML,S0003,NUS,2nd Year,MBA,2025-01-04,Accepted,Yes,26
381,Data Science,S0004,IIT Delhi,3rd Year,M.Sc,2025-01-05,Rejected,Yes,19
350,Embedded Systems,S0005,MIT,1st Year,M.Tech,2025-01-06,Accepted,No,1
328,Cybersecurity,S0006,Cambridge,1st Year,B.Sc,2025-01-07,Rejected,Yes,35
242,Blockchain,S0007,Berkeley,2nd Year,M.Tech,2025-01-08,Pending,Yes,22
854,Blockchain,S0008,Oxford,3rd Year,B.Tech,2025-01-09,Pending,No,49
204,IoT,S0009,NTU,3rd Year,M.Tech,2025-01-10,Pending,No,30
792,UI/UX Design,S0010,Oxford,4th Year,M.Tech,2025-01-11,Accepted,Yes,42
858,Web Development,S0011,NTU,1st Year,B.Tech,2025-01-12,Pending,Yes,12
658,UI/UX Design,S0012,Berkeley,4th Year,M.Tech,2025-01-13,Pending,Yes,44
189,Cloud Computing,S0013,IIT Delhi,4th Year,MBA,2025-01-14,Pending,No,7
704,UI/UX Design,S0014,Cambridge,3rd Year,B.Sc,2025-01-15,Accepted,Yes,25
532,AR/VR,S0015,NTU,1st Year,B.Sc,2025-01-16,Rejected,Yes,38
132,AR/VR,S0016,IIT Delhi,4th Year,M.Sc,2025-01-17,Pending,No,42
130,Data Science,S0017,Berkeley,3rd Year,B.Sc,2025-01-18,Rejected,No,27
195,AI/ML,S0018,NUS,2nd Year,B.Sc,2025-01-19,Pending,Yes,27
323,Web Development,S0019,Berkeley,1st Year,B.Tech,2025-01-20,Accepted,No,27
338,Web Development,S0020,Harvard,3rd Year,M.Tech,2025-01-21,Rejected,Yes,13
617,AR/VR,S0021,MIT,2nd Year,M.Tech,2025-01-22,Accepted,Yes,41
716,AI/ML,S0022,IIT Bombay,4th Year,MBA,2025-01-23,Pending,Yes,2
127,Data Science,S0023,MIT,4th Year,M.Tech,2025-01-24,Pending,Yes,40
674,Cloud Computing,S0024,Berkeley,4th Year,B.Tech,2025-01-25,Pending,Yes,15
303,IoT,S0025,NUS,2nd Year,MBA,2025-01-26,Accepted,No,9
833,Blockchain,S0026,Cambridge,2nd Year,MBA,2025-01-27,Accepted,Yes,40
765,IoT,S0027,MIT,4th Year,M.Sc,2025-01-28,Accepted,Yes,40
818,AR/VR,S0028,Cambridge,4th Year,M.Tech,2025-01-29,Accepted,Yes,33
658,IoT,S0029,MIT,2nd Year,B.Tech,2025-01-30,Pending,No,6
529,Blockchain,S0030,IIT Bombay,3rd Year,B.Sc,2025-01-31,Pending,No,39
325,Cloud Computing,S0031,Oxford,1st Year,B.Tech,2025-02-01,Rejected,Yes,37
559,Cybersecurity,S0032,Stanford,4th Year,B.Tech,2025-02-02,Rejected,Yes,47
703,Embedded Systems,S0033,Berkeley,2nd Year,B.Tech,2025-02-03,Pending,Yes,27
384,Data Science,S0034,NUS,3rd Year,MBA,2025-02-04,Pending,No,2
928,UI/UX Design,S0035,Berkeley,3rd Year,M.Sc,2025-02-05,Accepted,No,21
990,Blockchain,S0036,IIT Bombay,3rd Year,MBA,2025-02-06,Pending,Yes,40
106,Data Science,S0037,IIT Delhi,4th Year,B.Tech,2025-02-07,Accepted,No,16
877,Cloud Computing,S0038,MIT,2nd Year,B.Sc,2025-02-08,Rejected,Yes,11
925,AR/VR,S0039,Harvard,1st Year,MBA,2025-02-09,Accepted,No,37
263,IoT,S0040,Oxford,2nd Year,B.Tech,2025-02-10,Rejected,Yes,41
814,Embedded Systems,S0041,Stanford,2nd Year,B.Sc,2025-02-11,Rejected,No,31
532,Cloud Computing,S0042,MIT,3rd Year,M.Tech,2025-02-12,Pending,Yes,44
448,AI/ML,S0043,Berkeley,1st Year,M.Tech,2025-02-13,Rejected,No,6
384,Cybersecurity,S0044,NUS,4th Year,B.Tech,2025-02-14,Pending,Yes,24
259,Blockchain,S0045,IIT Bombay,4th Year,M.Sc,2025-02-15,Pending,Yes,2
320,AR/VR,S0046,Cambridge,3rd Year,M.Sc,2025-02-16,Pending,No,48
881,AI/ML,S0047,IIT Delhi,4th Year,B.Tech,2025-02-17,Rejected,No,39
444,AI/ML,S0048,Stanford,2nd Year,M.Sc,2025-02-18,Pending,No,42
204,Cybersecurity,S0049,NTU,3rd Year,M.Sc,2025-02-19,Rejected,No,25
194,Cloud Computing,S0050,Stanford,1st Year,M.Sc,2025-02-20,Pending,Yes,36
489,Cybersecurity,S0051,NUS,2nd Year,MBA,2025-02-21,Rejected,Yes,33
199,Web Development,S0052,Harvard,1st Year,B.Sc,2025-02-22,Pending,No,13
467,Cloud Computing,S0053,IIT Bombay,1st Year,B.Tech,2025-02-23,Accepted,Yes,11
967,Cloud Computing,S0054,Stanford,2nd Year,M.Tech,2025-02-24,Accepted,Yes,30
452,UI/UX Design,S0055,NTU,1st Year,M.Sc,2025-02-25,Pending,Yes,24
718,Data Science,S0056,NTU,3rd Year,B.Tech,2025-02-26,Pending,Yes,47
370,AI/ML,S0057,MIT,3rd Year,MBA,2025-02-27,Rejected,No,16
926,IoT,S0058,IIT Bombay,2nd Year,MBA,2025-02-28,Accepted,No,12
144,Blockchain,S0059,Harvard,4th Year,M.Sc,2025-03-01,Rejected,No,31
847,Web Development,S0060,Berkeley,1st Year,B.Sc,2025-03-02,Pending,Yes,46
570,Web Development,S0061,Oxford,2nd Year,M.Tech,2025-03-03,Accepted,Yes,13
649,Blockchain,S0062,Oxford,1st Year,B.Sc,2025-03-04,Pending,No,21
227,Embedded Systems,S0063,Cambridge,2nd Year,M.Tech,2025-03-05,Rejected,Yes,9
487,Cybersecurity,S0064,IIT Bombay,1st Year,M.Tech,2025-03-06,Pending,Yes,19
180,Embedded Systems,S0065,Cambridge,4th Year,B.Tech,2025-03-07,Rejected,Yes,5
665,Embedded Systems,S0066,Cambridge,2nd Year,M.Tech,2025-03-08,Accepted,Yes,2
400,UI/UX Design,S0067,IIT Delhi,3rd Year,M.Tech,2025-03-09,Accepted,Yes,14
949,Data Science,S0068,Oxford,4th Year,MBA,2025-03-10,Rejected,Yes,37
743,Blockchain,S0069,Berkeley,3rd Year,B.Sc,2025-03-11,Accepted,No,30
733,AI/ML,S0070,Stanford,4th Year,B.Sc,2025-03-12,Accepted,Yes,30
982,Blockchain,S0071,Berkeley,3rd Year,MBA,2025-03-13,Accepted,Yes,16
470,AI/ML,S0072,Harvard,4th Year,M.Sc,2025-03-14,Pending,Yes,44
691,IoT,S0073,NTU,1st Year,B.Tech,2025-03-15,Rejected,No,39
296,Data Science,S0074,Stanford,3rd Year,B.Sc,2025-03-16,Pending,Yes,29
821,UI/UX Design,S0075,Harvard,1st Year,M.Sc,2025-03-17,Rejected,Yes,16
171,AR/VR,S0076,Stanford,2nd Year,MBA,2025-03-18,Pending,Yes,12
146,Blockchain,S0077,Harvard,1st Year,B.Tech,2025-03-19,Rejected,Yes,30
777,AR/VR,S0078,IIT Delhi,3rd Year,MBA,2025-03-20,Pending,No,33
333,Blockchain,S0079,IIT Delhi,4th Year,M.Sc,2025-03-21,Rejected,No,42
891,Blockchain,S0080,Cambridge,1st Year,B.Sc,2025-03-22,Accepted,No,8
396,Cloud Computing,S0081,IIT Bombay,4th Year,B.Sc,2025-03-23,Accepted,Yes,39
181,Data Science,S0082,Stanford,2nd Year,M.Tech,2025-03-24,Rejected,Yes,22
975,Blockchain,S0083,NUS,2nd Year,MBA,2025-03-25,Accepted,No,11
338,AI/ML,S0084,Cambridge,3rd Year,M.Tech,2025-03-26,Pending,No,16
987,UI/UX Design,S0085,Berkeley,4th Year,MBA,2025-03-27,Accepted,No,30
203,Web Development,S0086,IIT Delhi,1st Year,B.Sc,2025-03-28,Accepted,No,47
489,AR/VR,S0087,Oxford,1st Year,MBA,2025-03-29,Rejected,No,5
384,IoT,S0088,IIT Delhi,2nd Year,MBA,2025-03-30,Accepted,No,1
564,UI/UX Design,S0089,Oxford,4th Year,B.Tech,2025-03-31,Pending,Yes,48
750,Data Science,S0090,Stanford,4th Year,M.Sc,2025-04-01,Accepted,No,3
954,Blockchain,S0091,Stanford,2nd Year,B.Tech,2025-04-02,Rejected,Yes,44
473,Data Science,S0092,Harvard,1st Year,B.Tech,2025-04-03,Pending,Yes,44
266,Cybersecurity,S0093,Oxford,2nd Year,M.Tech,2025-04-04,Accepted,No,27
479,Blockchain,S0094,NTU,4th Year,MBA,2025-04-05,Accepted,No,34
463,AR/VR,S0095,MIT,1st Year,M.Sc,2025-04-06,Accepted,Yes,31
314,Blockchain,S0096,Berkeley,2nd Year,B.Sc,2025-04-07,Accepted,No,25
786,Embedded Systems,S0097,Cambridge,4th Year,MBA,2025-04-08,Pending,Yes,5
373,Data Science,S0098,Harvard,4th Year,MBA,2025-04-09,Accepted,Yes,27
818,Blockchain,S0099,Stanford,3rd Year,B.Tech,2025-04-10,Accepted,No,17
799,Cloud Computing,S0100,Berkeley,3rd Year,M.Sc,2025-04-11,Rejected,No,46
763,UI/UX Design,S0101,Cambridge,2nd Year,M.Tech,2025-04-12,Rejected,No,35
173,Cybersecurity,S0102,IIT Bombay,1st Year,B.Sc,2025-04-13,Rejected,No,8
723,UI/UX Design,S0103,NUS,1st Year,B.Sc,2025-04-14,Pending,No,46
750,Web Development,S0104,MIT,3rd Year,B.Tech,2025-04-15,Pending,No,50
275,Data Science,S0105,Oxford,4th Year,B.Sc,2025-04-16,Accepted,Yes,39
646,Embedded Systems,S0106,Oxford,3rd Year,MBA,2025-04-17,Pending,No,42
846,Data Science,S0107,Harvard,2nd Year,MBA,2025-04-18,Accepted,No,35
350,Embedded Systems,S0108,MIT,3rd Year,B.Tech,2025-04-19,Accepted,Yes,46
267,Embedded Systems,S0109,IIT Bombay,1st Year,M.Tech,2025-04-20,Rejected,No,2
573,Cybersecurity,S0110,IIT Delhi,2nd Year,MBA,2025-04-21,Accepted,No,29
488,UI/UX Design,S0111,NUS,1st Year,M.Tech,2025-04-22,Rejected,Yes,31
376,UI/UX Design,S0112,NUS,2nd Year,M.Tech,2025-04-23,Accepted,No,47
755,Web Development,S0113,Berkeley,4th Year,B.Sc,2025-04-24,Rejected,Yes,4
804,Cybersecurity,S0114,Stanford,3rd Year,MBA,2025-04-25,Accepted,Yes,19
670,Data Science,S0115,IIT Delhi,1st Year,B.Sc,2025-04-26,Rejected,No,26
324,Web Development,S0116,Stanford,2nd Year,B.Tech,2025-04-27,Accepted,No,47
801,Cloud Computing,S0117,Harvard,3rd Year,MBA,2025-04-28,Pending,No,50
432,Cybersecurity,S0118,Stanford,1st Year,B.Tech,2025-04-29,Accepted,No,3
963,Web Development,S0119,MIT,4th Year,B.Sc,2025-04-30,Rejected,No,24
886,AR/VR,S0120,MIT,2nd Year,B.Sc,2025-05-01,Rejected,Yes,26
894,Web Development,S0121,Berkeley,1st Year,B.Sc,2025-05-02,Pending,Yes,46
157,Data Science,S0122,Harvard,1st Year,MBA,2025-05-03,Accepted,Yes,33
334,Web Development,S0123,Berkeley,4th Year,B.Sc,2025-05-04,Accepted,No,41
941,IoT,S0124,IIT Bombay,2nd Year,B.Tech,2025-05-05,Accepted,No,42
132,IoT,S0125,Cambridge,3rd Year,M.Tech,2025-05-06,Rejected,Yes,29
924,AR/VR,S0126,Stanford,1st Year,MBA,2025-05-07,Accepted,No,28
423,AR/VR,S0127,NTU,2nd Year,M.Sc,2025-05-08,Pending,Yes,8
510,IoT,S0128,NTU,2nd Year,B.Tech,2025-05-09,Pending,Yes,7
